"数据日期","行情口径","证券代码","行情代码","股票名称","交易所","防守类别","行业范围","防守层级","低波动防守适配","收盘价元","涨跌额元","涨跌幅百分比","换手率百分比","总市值亿元","分层依据","防守逻辑","主要风险","交叉核验","行情时间","主行情来源","复核来源","筛选口径"
"2026-09-11","收盘","601939","SH601939","建设银行","上海证券交易所","高股息金融","银行","核心防守","较高","11.02","0.07","0.64","1.22","28828.36","成熟大市值或基础设施龙头，且当日交易特征相对温和","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601939","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","601988","SH601988","中国银行","上海证券交易所","高股息金融","银行","核心防守","较高","6.57","0.04","0.61","0.15","21169.36","成熟大市值或基础设施龙头，且当日交易特征相对温和","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601988","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","601328","SH601328","交通银行","上海证券交易所","高股息金融","银行","核心防守","较高","7.48","0.04","0.54","0.76","6609.61","成熟大市值或基础设施龙头，且当日交易特征相对温和","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601328","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","601288","SH601288","农业银行","上海证券交易所","高股息金融","银行","核心防守","较高","6.97","0.03","0.43","0.13","24393.82","成熟大市值或基础设施龙头，且当日交易特征相对温和","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601288","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","601398","SH601398","工商银行","上海证券交易所","高股息金融","银行","核心防守","较高","8.11","0.01","0.12","0.13","28904.55","成熟大市值或基础设施龙头，且当日交易特征相对温和","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601398","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600236","SH600236","桂冠电力","上海证券交易所","必需公用服务","公用事业","核心防守","较高","10.07","0.17","1.72","0.28","793.76","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600236","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600803","SH600803","新奥股份","上海证券交易所","必需公用服务","公用事业","核心防守","较高","19.02","0.28","1.49","0.41","588.7","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600803","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600900","SH600900","长江电力","上海证券交易所","必需公用服务","公用事业","核心防守","较高","28.45","0.36","1.28","0.65","6961.21","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600900","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600025","SH600025","华能水电","上海证券交易所","必需公用服务","公用事业","核心防守","较高","9.83","0.11","1.13","0.21","1831.44","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600025","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600795","SH600795","国电电力","上海证券交易所","必需公用服务","公用事业","核心防守","较高","5.32","0.05","0.95","0.62","948.85","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600795","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
