action_id,action_group_id,symbol,action_type,distribution_period,announcement_date,record_date,ex_date,pay_date,cash_dividend_per_share,currency,ex_reference_dividend_per_share,share_transfer_per_share,distribution_is_differential,eligible_share_class,entitlement_rule,tax_rule_version,tax_assumption,source,secondary_source,version,record_status,notes,announcement_time,source_document,retrieved_at,raw_record_id
600900-CASH-DIV-FY2003-20040601,600900-CASH-DIV-FY2003-20040601,600900.SH,CASH_DIVIDEND,2003财年,2004-05-26,2004-05-31,2004-06-01,2004-06-08,0.090000,CNY,,,false,A股登记日持有人,每股派0.09元,PRC_LISTED_DIVIDEND_PIT_PRE_2005_102,个人税款代扣以原实施公告为准,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,2005年102号前的税制版本标识,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2003-20040601
600900-CASH-DIV-FY2004-20050524,600900-CASH-DIV-FY2004-20050524,600900.SH,CASH_DIVIDEND,2004财年,2005-05-18,2005-05-23,2005-05-24,2005-05-31,0.210000,CNY,,,false,A股登记日持有人,每股派0.21元,PRC_LISTED_DIVIDEND_PIT_PRE_2005_102,个人税款代扣以原实施公告为准,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,2005年102号前的税制版本标识,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2004-20050524
600900-OTHER-SHARE-REFORM-20050812,600900-OTHER-SHARE-REFORM-20050812,600900.SH,OTHER,股改,2005-08-09,2005-08-11,2005-08-12,2005-08-17,0.174000,CNY,,0.042100,true,股改符合资格持有人,每10股派1.74元并转增0.421股,NOT_APPLICABLE_SHARE_REFORM_CASH_CONSIDERATION_TAX_UNVERIFIED,股改现金对价税务分类待原公告核验,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,QUARANTINED,不纳入年度分红或税务逻辑,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-OTHER-SHARE-REFORM-20050812
600900-CASH-DIV-FY2005-20060607,600900-CASH-DIV-FY2005-20060607,600900.SH,CASH_DIVIDEND,2005财年,2006-06-01,2006-06-06,2006-06-07,2006-06-09,0.189000,CNY,,,false,A股登记日持有人,每股派0.189元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2005-20060607
600900-CASH-DIV-FY2006-20070611,600900-CASH-DIV-FY2006-20070611,600900.SH,CASH_DIVIDEND,2006财年,2007-06-05,2007-06-08,2007-06-11,2007-06-15,0.235320,CNY,,,false,A股登记日持有人,每股派0.23532元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2006-20070611
600900-CASH-DIV-FY2007-20080722,600900-CASH-DIV-FY2007-20080722,600900.SH,CASH_DIVIDEND,2007财年,2008-07-16,2008-07-21,2008-07-22,2008-07-28,0.296820,CNY,,,false,A股登记日持有人,每股派0.29682元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2007-20080722
600900-CASH-DIV-FY2008-20090807,600900-CASH-DIV-FY2008-20090807,600900.SH,CASH_DIVIDEND,2008财年,2009-08-03,2009-08-06,2009-08-07,2009-08-13,0.215850,CNY,,,false,A股登记日持有人,每股派0.21585元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2008-20090807
600900-CASH-DIV-FY2009-20100720-ORDINARY,600900-CASH-DIV-FY2009-20100720,600900.SH,CASH_DIVIDEND,2009财年,2010-07-14,2010-07-19,2010-07-20,2010-07-23,0.370270,CNY,,0.500000,true,重组前及公众股份,每股派0.37027元且每10股转增5股,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,上交所2010-07-14实施公告,新浪财经实施公告,v1,VALID,普通交易股份实际现金权益,,https://static.sse.com.cn/cs/zhs/scfw/gg/ssgs/2010-07-14/600900_20100714_1.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2009-20100720
600900-CASH-DIV-FY2009-20100720-MA,600900-CASH-DIV-FY2009-20100720,600900.SH,CASH_DIVIDEND,2009财年,2010-07-14,2010-07-19,2010-07-20,2010-07-23,0.035820,CNY,,0.500000,true,重大资产重组新增股份,56879098.93元除以1587914543股且每10股转增5股,PRC_LISTED_DIVIDEND_PIT_2005_102,控股股东自行申报,上交所2010-07-14实施公告,新浪财经实施公告,v1,VALID,按6位小数四舍五入；因含送股未设置纯现金除息参考额,,https://static.sse.com.cn/cs/zhs/scfw/gg/ssgs/2010-07-14/600900_20100714_1.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2009-20100720
600900-CASH-DIV-FY2010-20110623,600900-CASH-DIV-FY2010-20110623,600900.SH,CASH_DIVIDEND,2010财年,2011-06-17,2011-06-22,2011-06-23,2011-06-29,0.255790,CNY,,,false,A股登记日持有人,每股派0.25579元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2010-20110623
600900-CASH-DIV-FY2011-20120702,600900-CASH-DIV-FY2011-20120702,600900.SH,CASH_DIVIDEND,2011财年,2012-06-26,2012-06-29,2012-07-02,2012-07-05,0.254620,CNY,,,false,A股登记日持有人,每股派0.25462元,PRC_LISTED_DIVIDEND_PIT_2005_102,个人及基金在派发时按10%代扣,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2011-20120702
600900-CASH-DIV-FY2012-20130701,600900-CASH-DIV-FY2012-20130701,600900.SH,CASH_DIVIDEND,2012财年,2013-06-25,2013-06-28,2013-07-01,2013-07-04,0.331570,CNY,,,false,A股登记日持有人,每股派0.33157元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2012-20130701
600900-CASH-DIV-FY2013-20140711,600900-CASH-DIV-FY2013-20140711,600900.SH,CASH_DIVIDEND,2013财年,2014-07-04,2014-07-10,2014-07-11,2014-07-14,0.280420,CNY,,,false,A股登记日持有人,每股派0.28042元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2013-20140711
600900-CASH-DIV-FY2014-20150630,600900-CASH-DIV-FY2014-20150630,600900.SH,CASH_DIVIDEND,2014财年,2015-06-20,2015-06-29,2015-06-30,2015-07-03,0.379100,CNY,,,false,A股登记日持有人,每股派0.37910元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2014-20150630
600900-CASH-DIV-FY2015-20160719-ORDINARY,600900-CASH-DIV-FY2015-20160719,600900.SH,CASH_DIVIDEND,2015财年,2016-07-13,2016-07-18,2016-07-19,2016-07-19,0.400000,CNY,0.356960,,true,普通及战略投资者持股,每股派0.4元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯2016-037实施公告,新浪财经分红表,v1,VALID,普通交易股份实际现金权益,,https://static.cninfo.com.cn/finalpage/2016-07-13/1202468389.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2015-20160719
