session_date,datetime,timezone,symbol,period,adjust,source,source_version,calendar_source,calendar_version,corporate_action_version,pipeline_version,open,high,low,close,volume_raw_lots,amount_cny,pre_close,trade_status,trade_status_method,limit_up,limit_down,price_limit_rate,price_limit_method,price_limit_evidence,reference_action_ids,reference_action_methods,limit_validation,raw_record_id
2003-11-18,2003-11-18 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.23,6.48,6.11,6.18,7538631.0,4693850007.0,,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,,,,NO_LIMIT_FIRST_LISTING_OBSERVATION,C,,,NOT_TESTABLE,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L2
2003-11-19,2003-11-19 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.16,6.28,6.15,6.24,964873.0,601303012.0,6.18,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.8,5.56,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L3
2003-11-20,2003-11-20 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.23,6.35,6.19,6.35,804131.0,504194744.0,6.24,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.86,5.62,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L4
2003-11-21,2003-11-21 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.36,6.53,6.32,6.32,835147.0,535389772.0,6.35,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.99,5.72,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L5
2003-11-24,2003-11-24 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.32,6.67,6.32,6.65,676646.0,439502309.0,6.32,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.95,5.69,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L6
2003-11-25,2003-11-25 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.65,6.73,6.56,6.61,730925.0,486006595.0,6.65,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.32,5.99,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L7
2003-11-26,2003-11-26 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.61,6.73,6.56,6.62,305578.0,202771302.0,6.61,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.27,5.95,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L8
2003-11-27,2003-11-27 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.62,6.71,6.57,6.66,341844.0,227201858.0,6.62,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.28,5.96,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L9
2003-11-28,2003-11-28 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.67,6.86,6.67,6.82,464203.0,315038269.0,6.66,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.33,5.99,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L10
2003-12-01,2003-12-01 15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.82,7.02,6.81,7.0,607152.0,422053736.0,6.82,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.5,6.14,0.1,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L11
