record_id,symbol,fiscal_year,event_date,event_time_precision,approval_meeting_type,approval_meeting_name,announcement_date,announcement_time,announcement_time_precision,available_time,effective_time,expiry_time,superseded_time,expected_annual_dividend_per_share,currency,tax_basis,estimate_method,source,source_document,secondary_source,secondary_source_document,source_version,confidence,evidence_level,note
600900-PIT-FY2003,600900.SH,2003,2004-05-14,DATE,ANNUAL_GENERAL_MEETING,2003年年度股东大会,2004-05-15,,DATE,2004-05-17 09:30:00+08:00,2004-05-17 09:30:00+08:00,2005-05-17 09:30:00+08:00,2005-05-11 09:30:00+08:00,0.09,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经历史公告索引,https://m.cj.sina.cn/page/aHR0cDovL2ZpbmFuY2Uuc2luYS5jb20uY24vc3RvY2svY29tcGFueS9zaC82MDA5MDAvMjQuc2h0bWw?from=redirect,新浪财经公司资料,https://finance.sina.com.cn/stock/company/sh/600900/9_2.shtml,v1,MEDIUM,B,历史公告索引记载决议披露日为2004-05-15；公司资料记载报纸刊登日为2004-05-17；保守可用日均为2004-05-17
600900-PIT-FY2004,600900.SH,2004,2005-05-08,DATE,ANNUAL_GENERAL_MEETING,2004年年度股东大会,2005-05-10,,DATE,2005-05-11 09:30:00+08:00,2005-05-11 09:30:00+08:00,2006-05-11 09:30:00+08:00,2006-05-09 09:30:00+08:00,0.21,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,长江电力2005年半年度报告镜像,https://qinglite-1253448069.cos.ap-shanghai.myqcloud.com/annual_report/finalpage/2005-08-13/15770358.PDF,搜狐财经实施公告转载,https://business.sohu.com/20050518/n225610949.shtml,v1,HIGH,A,半年度报告明确记载会议日期与决议公告日期
600900-PIT-FY2005,600900.SH,2005,2006-04-28,DATE,ANNUAL_GENERAL_MEETING,2005年年度股东大会,2006-05-08,,DATE,2006-05-09 09:30:00+08:00,2006-05-09 09:30:00+08:00,2007-05-09 09:30:00+08:00,2007-05-10 09:30:00+08:00,0.189,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,搜狐财经公司大事,https://q.stock.sohu.com/cn/600900/bw_5.shtml,新浪财经实施公告转载,https://finance.sina.cn/sa/2006-06-01/detail-ikknscsi3420683.d.html,v1,MEDIUM,B,会议日与决议披露日由历史公司大事和实施公告交叉核验
600900-PIT-FY2006,600900.SH,2006,2007-05-08,DATE,ANNUAL_GENERAL_MEETING,2006年年度股东大会,2007-05-09,,DATE,2007-05-10 09:30:00+08:00,2007-05-10 09:30:00+08:00,2008-05-09 09:30:00+08:00,2008-06-03 09:30:00+08:00,0.23532,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,搜狐财经公司大事,https://q.stock.sohu.com/cn/600900/bw_7.shtml,新浪财经实施公告转载,https://finance.sina.cn/sa/2007-06-05/detail-ikknscsi4560347.d.html,v1,MEDIUM,B,会议日与决议披露日由历史公司大事和实施公告交叉核验
600900-PIT-FY2007,600900.SH,2007,2008-05-30,DATE,ANNUAL_GENERAL_MEETING,2007年年度股东大会,2008-06-02,,DATE,2008-06-03 09:30:00+08:00,2008-06-03 09:30:00+08:00,2009-06-03 09:30:00+08:00,2009-06-29 09:30:00+08:00,0.29682,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,巨潮资讯股东大会决议公告,https://static.cninfo.com.cn/finalpage/2008-06-02/40170529.PDF,长江电力2008年年度报告,https://static.sse.com.cn/sseportal/cs/zhs/scfw/gg/ssgs/2009-04-30/600900_2008_n.pdf,v1,HIGH,A,原始决议公告与后续年度报告交叉核验
600900-PIT-FY2008,600900.SH,2008,2009-06-26,DATE,ANNUAL_GENERAL_MEETING,2008年年度股东大会,2009-06-27,,DATE,2009-06-29 09:30:00+08:00,2009-06-29 09:30:00+08:00,2010-06-29 09:30:00+08:00,2010-06-30 09:30:00+08:00,0.21585,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,巨潮资讯股东大会决议公告,https://static.cninfo.com.cn/finalpage/2009-06-27/54050068.PDF,长江电力2009年年度报告,https://static.cninfo.com.cn/finalpage/2010-04-30/57898823.PDF,v1,HIGH,A,原始决议公告与后续年度报告交叉核验
600900-PIT-FY2009,600900.SH,2009,2010-06-26,DATE,ANNUAL_GENERAL_MEETING,2009年年度股东大会,2010-06-29,,DATE,2010-06-30 09:30:00+08:00,2010-06-30 09:30:00+08:00,2011-06-30 09:30:00+08:00,2011-05-24 09:30:00+08:00,0.37027,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,证券时报法定披露版面,https://epaper.stcn.com/paper/zqsb/page/1/2010-06-29/D005/35251277754719019.pdf,长江电力2010年年度报告,https://static.cninfo.com.cn/finalpage/2011-04-30/59371124.PDF,v1,HIGH,A,法定披露版面与后续年度报告交叉核验；普通交易股份税前DPS口径
600900-PIT-FY2010,600900.SH,2010,2011-05-20,DATE,ANNUAL_GENERAL_MEETING,2010年年度股东大会,2011-05-23,,DATE,2011-05-24 09:30:00+08:00,2011-05-24 09:30:00+08:00,2012-05-23 09:30:00+08:00,2012-05-29 09:30:00+08:00,0.25579,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,长江电力2011年年度报告,https://static.cninfo.com.cn/finalpage/2012-04-27/60923135.PDF,证券时报实施公告,https://epaper.stcn.com/paper/zqsb/html/2011-06/17/content_280721.htm,v1,HIGH,A,年度报告列示股东大会决议公告日期并由实施公告复核金额
600900-PIT-FY2011,600900.SH,2011,2012-05-25,DATE,ANNUAL_GENERAL_MEETING,2011年年度股东大会,2012-05-28,,DATE,2012-05-29 09:30:00+08:00,2012-05-29 09:30:00+08:00,2013-05-29 09:30:00+08:00,2013-05-20 09:30:00+08:00,0.25462,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,证券时报法定披露版面,https://epaper.stcn.com/att/201205/28/20120528D008_pdf.pdf,长江电力2012年半年度报告镜像,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2012/2012-8/2012-08-31/974629.PDF,v1,HIGH,A,法定披露版面与后续半年度报告交叉核验
600900-PIT-FY2012,600900.SH,2012,2013-05-17,DATE,EXTRAORDINARY_GENERAL_MEETING,2013年第一次临时股东大会,2013-05-18,,DATE,2013-05-20 09:30:00+08:00,2013-05-20 09:30:00+08:00,2014-05-20 09:30:00+08:00,2014-05-23 09:30:00+08:00,0.33157,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经股东大会决议公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=1134073&stockid=600900,新浪财经权益分派实施公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=1160158&stockid=600900,v1,HIGH,A,2012年度利润分配由同日召开的2013年第一次临时股东大会而非年度股东大会审议通过
