session_date,datetime,timezone,symbol,period,adjust,source,source_version,calendar_source,calendar_version,corporate_action_version,pipeline_version,open,high,low,close,volume_raw_lots,amount_cny,pre_close,trade_status,trade_status_method,limit_up,limit_down,price_limit_rate,price_limit_method,price_limit_evidence,reference_action_ids,reference_action_methods,limit_validation,raw_record_id
2003-11-18,2003-11-18T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.230000,6.480000,6.110000,6.180000,7538631.000000,4693850007.000000,,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,,,,NO_LIMIT_FIRST_LISTING_OBSERVATION,C,,,NOT_TESTABLE,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L2
2003-11-19,2003-11-19T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.160000,6.280000,6.150000,6.240000,964873.000000,601303012.000000,6.180000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.800000,5.560000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L3
2003-11-20,2003-11-20T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.230000,6.350000,6.190000,6.350000,804131.000000,504194744.000000,6.240000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.860000,5.620000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L4
2003-11-21,2003-11-21T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.360000,6.530000,6.320000,6.320000,835147.000000,535389772.000000,6.350000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.990000,5.720000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L5
2003-11-24,2003-11-24T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.320000,6.670000,6.320000,6.650000,676646.000000,439502309.000000,6.320000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,6.950000,5.690000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L6
2003-11-25,2003-11-25T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.650000,6.730000,6.560000,6.610000,730925.000000,486006595.000000,6.650000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.320000,5.990000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L7
2003-11-26,2003-11-26T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.610000,6.730000,6.560000,6.620000,305578.000000,202771302.000000,6.610000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.270000,5.950000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L8
2003-11-27,2003-11-27T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.620000,6.710000,6.570000,6.660000,341844.000000,227201858.000000,6.620000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.280000,5.960000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L9
2003-11-28,2003-11-28T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.670000,6.860000,6.670000,6.820000,464203.000000,315038269.000000,6.660000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.330000,5.990000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L10
2003-12-01,2003-12-01T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,6.820000,7.020000,6.810000,7.000000,607152.000000,422053736.000000,6.820000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.500000,6.140000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L11
2003-12-02,2003-12-02T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.020000,7.060000,6.970000,7.000000,496736.000000,348166234.000000,7.000000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.700000,6.300000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L12
2003-12-03,2003-12-03T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.000000,7.690000,6.990000,7.380000,1236349.000000,899776595.000000,7.000000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,7.700000,6.300000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L13
2003-12-04,2003-12-04T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.380000,7.570000,7.330000,7.460000,805329.000000,600057587.000000,7.380000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.120000,6.640000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L14
2003-12-05,2003-12-05T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.470000,7.550000,7.320000,7.470000,658512.000000,488630103.000000,7.460000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.210000,6.710000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L15
2003-12-08,2003-12-08T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.470000,7.540000,7.350000,7.360000,411005.000000,305294846.000000,7.470000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.220000,6.720000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L16
2003-12-09,2003-12-09T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.360000,7.570000,7.360000,7.550000,531300.000000,397336339.000000,7.360000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.100000,6.620000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L17
2003-12-10,2003-12-10T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.580000,7.740000,7.550000,7.730000,626045.000000,479721080.000000,7.550000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.310000,6.800000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L18
2003-12-11,2003-12-11T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.760000,7.820000,7.490000,7.600000,817167.000000,623975918.000000,7.730000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.500000,6.960000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L19
2003-12-12,2003-12-12T15:00:00+08:00,Asia/Shanghai,600900.SH,1d,none,xtquant,xtquant-export-none-1d-cutoff-2026-09-09-sha256-ff4f0f932180,sina_finance_cross_checked_with_sse_2026_holidays,sse-trade-calendar-cutoff-2026-09-09-sha256-b2c5ed92a0a6,600900-actions-v1-sha256-3eb33c35a30b,HD-STAGE4-PREP-1.0.0,7.560000,7.620000,7.480000,7.580000,365842.000000,275712415.000000,7.600000,TRADING,XTQUANT_POSITIVE_OHLC_AND_NONZERO_VOLUME_BAR,8.360000,6.840000,0.100000,DERIVED_SSE_MAIN_BOARD_10PCT_FROM_REFERENCE_V1,B,,,PASS,research/QMTData/data/market_kline/csv/1d/none/600900.SH.csv#L20
