date,open,high,low,close,volume,amount,outstanding_share,turnover
2003-11-18,6.23,6.48,6.11,6.18,753863103.0,4693850007.0,1279300000.0,0.5892778105213788
2003-11-19,6.16,6.28,6.15,6.24,96487383.0,601303012.0,1279300000.0,0.07542201438286562
2003-11-20,6.23,6.35,6.19,6.35,80413119.0,504194744.0,1279300000.0,0.06285712420855155
2003-11-21,6.36,6.53,6.32,6.32,83514726.0,535389773.0,1279300000.0,0.0652815805518643
2003-11-24,6.32,6.67,6.32,6.65,67664675.0,439502309.0,1279300000.0,0.05289195263034472
2003-11-25,6.65,6.73,6.56,6.61,73092530.0,486006595.0,1279300000.0,0.05713478464785429
2003-11-26,6.61,6.73,6.56,6.62,30557854.0,202771302.0,1279300000.0,0.023886386305010554
2003-11-27,6.62,6.71,6.57,6.66,34184475.0,227201858.0,1279300000.0,0.026721234268740717
2003-11-28,6.67,6.86,6.67,6.82,46420361.0,315038270.0,1279300000.0,0.036285750801219416
2003-12-01,6.82,7.02,6.81,7.0,60715269.0,422053736.0,1279300000.0,0.04745975846165872
2003-12-02,7.02,7.06,6.97,7.0,49673663.0,348166234.0,1279300000.0,0.038828783709841316
2003-12-03,7.0,7.69,6.99,7.38,123634920.0,899776595.0,1279300000.0,0.0966426326897522
2003-12-04,7.38,7.57,7.33,7.46,80532968.0,600057588.0,1279300000.0,0.06295080747283671
2003-12-05,7.47,7.55,7.32,7.47,65851201.0,488630103.0,1279300000.0,0.051474400844211676
2003-12-08,7.47,7.54,7.35,7.36,41100554.0,305294846.0,1279300000.0,0.03212737747205503
2003-12-09,7.36,7.57,7.36,7.55,53130054.0,397336339.0,1279300000.0,0.041530566716172904
2003-12-10,7.58,7.74,7.55,7.73,62604522.0,479721080.0,1279300000.0,0.04893654498553897
2003-12-11,7.76,7.82,7.49,7.6,81716704.0,623975918.0,1279300000.0,0.06387610724615024
2003-12-12,7.56,7.62,7.48,7.58,36584294.0,275712415.0,1279300000.0,0.02859711873680919
2003-12-15,7.58,7.59,7.47,7.51,30550542.0,229670112.0,1279300000.0,0.02388067067927773
2003-12-16,7.5,7.7,7.4,7.67,54410022.0,410789389.0,1279300000.0,0.04253108887672946
2003-12-17,7.61,7.78,7.55,7.56,48720370.0,373294964.0,1279300000.0,0.03808361604002189
2003-12-18,7.53,7.78,7.51,7.73,34982281.0,267809645.0,1279300000.0,0.027344861252247322
2003-12-19,7.77,8.09,7.76,8.0,86725345.0,685083798.0,1279300000.0,0.06779124912061284
2003-12-22,8.05,8.7,7.97,8.6,95295105.0,791970326.0,1279300000.0,0.07449003752051904
2003-12-23,8.6,8.74,8.54,8.69,62355811.0,539230129.0,1279300000.0,0.04874213319784257
2003-12-24,8.69,8.87,8.61,8.86,50427107.0,438304465.0,1279300000.0,0.03941773391698585
2003-12-25,8.89,9.05,8.71,8.83,59412995.0,528050103.0,1279300000.0,0.04644180020323614
2003-12-26,8.83,8.87,8.65,8.72,38569083.0,336355076.0,1279300000.0,0.03014858360040647
2003-12-29,8.68,8.77,8.59,8.62,32623334.0,282820470.0,1279300000.0,0.02550092550613617
2003-12-30,8.62,9.05,8.62,8.99,69945314.0,624765236.0,1279300000.0,0.05467467677636207
2003-12-31,9.05,9.07,8.66,8.68,50752639.0,448534167.0,1279300000.0,0.03967219495036348
2004-01-02,8.71,9.0,8.68,8.83,37709688.0,333953426.0,1279300000.0,0.029476813882592042
2004-01-05,8.81,9.29,8.74,9.2,82084105.0,746490917.0,1279300000.0,0.06416329633393263
2004-01-06,9.22,9.26,8.93,9.07,88712116.0,804496856.0,1279300000.0,0.06934426326897522
2004-01-07,9.07,9.55,8.97,9.26,90452548.0,839939743.0,1279300000.0,0.07070471976862347
2004-01-08,9.25,9.37,9.11,9.24,43007348.0,396610043.0,1279300000.0,0.03361787540060971
2004-01-09,9.24,9.35,8.86,8.91,60537381.0,549535584.0,1279300000.0,0.047320707418119286
2004-01-12,8.88,9.16,8.68,9.13,66829066.0,598502664.0,1279300000.0,0.05223877589306652
2004-01-13,9.15,9.15,8.79,8.87,45907320.0,411131288.0,1279300000.0,0.035884718205268507
2004-01-14,8.85,8.92,8.69,8.78,28824540.0,253404170.0,1279300000.0,0.022531493785664033
2004-01-15,8.77,8.9,8.58,8.61,41954580.0,364488249.0,1279300000.0,0.03279495036348003
2004-01-16,8.62,8.92,8.62,8.82,41367966.0,363682239.0,1279300000.0,0.03233640741030251
2004-01-29,8.83,8.95,8.76,8.91,21044688.0,186076076.0,1279300000.0,0.016450158680528414
2004-01-30,8.91,9.02,8.7,8.74,32595507.0,289238771.0,1279300000.0,0.025479173766903774
2004-02-02,9.61,9.61,8.9,9.04,99835968.0,912461881.0,1279300000.0,0.07803952786680216
2004-02-03,9.04,9.24,8.96,9.2,38943150.0,356039026.0,1279300000.0,0.03044098335026968
2004-02-04,9.21,9.95,9.21,9.8,94118764.0,905155254.0,1279300000.0,0.07357051825216915
2004-02-05,9.8,9.94,9.66,9.85,41389287.0,405781482.0,1279300000.0,0.032353073555850854
2004-02-06,9.85,9.86,9.63,9.73,33573141.0,327012955.0,1279300000.0,0.02624336824826077
2004-02-09,9.76,9.95,9.7,9.77,28180910.0,277047910.0,1279300000.0,0.022028382709294147
2004-02-10,9.77,9.82,9.48,9.54,34964524.0,335705047.0,1279300000.0,0.02733098100523724
2004-02-11,9.54,9.6,9.33,9.44,37963693.0,358030302.0,1279300000.0,0.029675363870866882
2004-02-12,9.55,9.58,8.9,8.92,73026053.0,665299018.0,1279300000.0,0.057082821074024855
2004-02-13,8.9,9.08,8.85,8.95,37122371.0,332319056.0,1279300000.0,0.029017721410146174
2004-02-16,8.96,9.14,8.95,9.14,33429351.0,302272855.0,1279300000.0,0.02613097084343
2004-02-17,9.17,9.2,8.96,9.0,47690942.0,433284421.0,1279300000.0,0.037278935355272415
2004-02-18,9.0,9.08,8.91,9.04,27925117.0,251818082.0,1279300000.0,0.021828435081685298
2004-02-19,9.04,9.21,9.0,9.13,51395038.0,468882735.0,1279300000.0,0.04017434378175565
2004-02-20,9.13,9.17,9.05,9.1,21038314.0,191666349.0,1279300000.0,0.016445176268271713
2004-02-23,9.11,9.15,8.72,8.75,35458400.0,315331246.0,1279300000.0,0.027717032752286406
2004-02-24,8.7,8.85,8.61,8.77,29280401.0,255554944.0,1279300000.0,0.022887830063315875
2004-02-25,8.77,9.01,8.71,8.77,19574663.0,173421156.0,1279300000.0,0.015301073243179864
2004-02-26,8.77,8.94,8.64,8.92,25823242.0,227582280.0,1279300000.0,0.020185446728679748
2004-02-27,8.99,9.07,8.9,8.99,21895110.0,196919555.0,1279300000.0,0.017114914406315955
