fee_type,market,effective_start,effective_end,charge_side,rate_basis,rate_decimal,minimum_cny_per_parent_order,commission_interaction,source_kind,evidence_level,source_document,version,note
STAMP_TAX,SSE_A_SHARE,2001-11-16,2005-01-23,BOTH,transaction_amount,0.002,,ADD_SEPARATELY,official_history,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
STAMP_TAX,SSE_A_SHARE,2005-01-24,2007-05-29,BOTH,transaction_amount,0.001,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
STAMP_TAX,SSE_A_SHARE,2007-05-30,2008-04-23,BOTH,transaction_amount,0.003,,ADD_SEPARATELY,official_history,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
STAMP_TAX,SSE_A_SHARE,2008-04-24,2008-09-18,BOTH,transaction_amount,0.001,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
STAMP_TAX,SSE_A_SHARE,2008-09-19,2023-08-27,SELL,transaction_amount,0.001,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
STAMP_TAX,SSE_A_SHARE,2023-08-28,,SELL,transaction_amount,0.0005,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
TRANSFER_FEE,SSE_A_SHARE,,2012-05-31,BOTH,nominal_value,0.001,,ADD_SEPARATELY,historical_archive_start_unknown,C,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,Exact early effective start unresolved
TRANSFER_FEE,SSE_A_SHARE,2012-06-01,2012-08-31,BOTH,nominal_value,0.00075,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,Shanghai investor total
TRANSFER_FEE,SSE_A_SHARE,2012-09-01,2015-07-31,BOTH,nominal_value,0.0006,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,Shanghai investor total
TRANSFER_FEE,SSE_A_SHARE,2015-08-01,2022-04-28,BOTH,transaction_amount,0.00002,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
