profile_id,baseline_account_id,calendar_year,session_rows,relative_price_pnl_cny,relative_execution_price_pnl_cny,relative_gross_dividend_entitlement_cny,relative_tax_effect_cny,relative_fee_effect_cny,relative_cash_yield_cny,relative_attributed_nav_change_cny,relative_actual_nav_change_cny,relative_identity_difference_cny
P00,HD-BASE-000,2022,200,-313.0,0.0,81.53,-16.3,-28.39,0.0,-276.16,-276.16,0.0
P00,HD-BASE-000,2023,242,702.0,0.0,255.99,16.3,0.0,0.0,974.29,974.29,0.0
P00,HD-BASE-000,2024,242,727.0,0.0,0.0,0.0,-19.36,0.0,707.64,707.64,0.0
P00,HD-BASE-000,2025,168,-13.0,0.0,0.0,0.0,-5.19,0.0,-18.19,-18.19,0.0
P00,HD-BASE-001,2022,200,542.0,0.0,-326.12,-16.3,-28.39,0.0,171.19,171.19,0.0
P00,HD-BASE-001,2023,242,-468.0,0.0,-170.66,16.3,0.0,0.0,-622.36,-622.36,0.0
P00,HD-BASE-001,2024,242,-2378.0,0.0,-410.0,0.0,-19.36,0.0,-2807.36,-2807.36,0.0
P00,HD-BASE-001,2025,168,757.0,0.0,-471.5,0.0,-5.19,0.0,280.31,280.31,0.0
P00,HD-BASE-RM-001,2022,200,-484.0,0.0,163.06,-16.3,-28.39,0.0,-365.63,-365.63,0.0
P00,HD-BASE-RM-001,2023,242,936.0,0.0,341.32,16.3,0.0,0.0,1293.62,1293.62,0.0
P00,HD-BASE-RM-001,2024,242,1348.0,0.0,82.0,0.0,-19.36,0.0,1410.64,1410.64,0.0
P00,HD-BASE-RM-001,2025,168,-167.0,0.0,94.3,0.0,-5.19,0.0,-77.89,-77.89,0.0
