profile_id,baseline_account_id,segment_id,start_date,end_date,session_rows,strategy_opening_shares,baseline_opening_shares,relative_opening_shares,relative_price_pnl_cny,relative_execution_price_pnl_cny,relative_gross_dividend_entitlement_cny,relative_tax_effect_cny,relative_fee_effect_cny,relative_cash_yield_cny,relative_attributed_nav_change_cny,relative_actual_nav_change_cny,relative_identity_difference_cny,overweight_up_gain_cny,overweight_down_loss_cny,underweight_up_opportunity_loss_cny,underweight_down_avoided_loss_cny
P00,HD-BASE-000,HD-BASE-000-SEG-01,2022-03-10,2022-05-30,53,1000,1000,0,0.0,0.0,0.0,0.0,-5.19,0.0,-5.19,-5.19,0.0,0.0,0.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-02,2022-05-31,2022-06-22,16,1100,1000,100,-54.0,0.0,0.0,0.0,-5.18,0.0,-59.18,-59.18,0.0,227.0,281.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-03,2022-06-23,2022-07-14,16,1200,1000,200,332.0,0.0,0.0,0.0,-7.68,0.0,324.32,324.32,0.0,490.0,158.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-04,2022-07-15,2022-08-25,30,1100,1000,100,-127.0,0.0,81.53,-16.3,-5.18,0.0,-66.95,-66.95,0.0,253.0,380.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-05,2022-08-26,2022-11-02,43,1200,1000,200,-626.0,0.0,0.0,0.0,-5.16,0.0,-631.16,-631.16,0.0,512.0,1138.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-06,2022-11-03,2024-02-07,311,1300,1000,300,1272.0,0.0,255.99,16.3,-6.39,0.0,1537.9,1537.9,0.0,7854.0,6582.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-07,2024-02-08,2024-03-07,15,1200,1000,200,240.0,0.0,0.0,0.0,-6.47,0.0,233.53,233.53,0.0,510.0,270.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-08,2024-03-08,2024-05-29,54,1100,1000,100,79.0,0.0,0.0,0.0,-6.5,0.0,72.5,72.5,0.0,462.0,383.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-09,2024-05-30,2025-08-04,288,1000,1000,0,0.0,0.0,0.0,0.0,-5.19,0.0,-5.19,-5.19,0.0,0.0,0.0,0.0,0.0
P00,HD-BASE-000,HD-BASE-000-SEG-10,2025-08-05,2025-09-09,26,1100,1000,100,-13.0,0.0,0.0,0.0,0.0,0.0,-13.0,-13.0,0.0,191.0,204.0,0.0,0.0
P00,HD-BASE-001,HD-BASE-001-SEG-01,2022-03-10,2022-05-30,53,1000,1500,-500,-515.0,0.0,0.0,0.0,-5.19,0.0,-520.19,-520.19,0.0,0.0,0.0,4175.0,3660.0
P00,HD-BASE-001,HD-BASE-001-SEG-02,2022-05-31,2022-06-22,16,1100,1500,-400,216.0,0.0,0.0,0.0,-5.18,0.0,210.82,210.82,0.0,0.0,0.0,908.0,1124.0
P00,HD-BASE-001,HD-BASE-001-SEG-03,2022-06-23,2022-07-14,16,1200,1500,-300,-498.0,0.0,0.0,0.0,-7.68,0.0,-505.68,-505.68,0.0,0.0,0.0,735.0,237.0
P00,HD-BASE-001,HD-BASE-001-SEG-04,2022-07-15,2022-08-25,30,1100,1500,-400,508.0,0.0,-326.12,-16.3,-5.18,0.0,160.4,160.4,0.0,0.0,0.0,1012.0,1520.0
P00,HD-BASE-001,HD-BASE-001-SEG-05,2022-08-26,2022-11-02,43,1200,1500,-300,939.0,0.0,0.0,0.0,-5.16,0.0,933.84,933.84,0.0,0.0,0.0,768.0,1707.0
P00,HD-BASE-001,HD-BASE-001-SEG-06,2022-11-03,2024-02-07,311,1300,1500,-200,-848.0,0.0,-170.66,16.3,-6.39,0.0,-1008.75,-1008.75,0.0,0.0,0.0,5236.0,4388.0
