group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,DOWN,31,HD-ANCHOR-001,2022-11-01,2022-11-02,2,0.00405649801441621,0.0,0,False,0
TREND,DOWN,33,HD-ANCHOR-001,2022-11-04,2022-11-04,1,0.003617193774113847,0.0,0,False,0
TREND,DOWN,35,HD-ANCHOR-001,2022-12-09,2022-12-09,1,0.00044293664268324484,0.0,0,False,0
TREND,DOWN,37,HD-ANCHOR-001,2022-12-13,2022-12-13,1,-0.0008902106615051864,-0.0008902106615051864,0,True,1
TREND,DOWN,39,HD-ANCHOR-001,2022-12-15,2022-12-15,1,-0.002895117598306296,-0.002895117598306296,0,True,1
TREND,DOWN,41,HD-ANCHOR-001,2022-12-19,2022-12-20,2,-0.010639905032027053,-0.010639905032027053,0,True,2
TREND,DOWN,43,HD-ANCHOR-001,2022-12-22,2022-12-22,1,-0.002236476798961662,-0.002236476798961662,0,True,1
TREND,DOWN,45,HD-ANCHOR-001,2023-01-06,2023-02-14,23,0.008662203780821498,-0.012161903339573565,6,True,4
TREND,DOWN,47,HD-ANCHOR-001,2023-02-16,2023-03-01,10,0.0044147006815959955,-0.007029385195776561,2,True,6
TREND,DOWN,49,HD-ANCHOR-001,2023-03-09,2023-03-30,16,0.005750534986902256,-0.022655694023938633,9,False,0
TREND,DOWN,31,HD-BASE-000,2022-11-01,2022-11-02,2,0.0034266936004783144,0.0,0,False,0
TREND,DOWN,33,HD-BASE-000,2022-11-04,2022-11-04,1,0.0027545695726800545,0.0,0,False,0
TREND,DOWN,35,HD-BASE-000,2022-12-09,2022-12-09,1,0.0003389526025627809,0.0,0,False,0
TREND,DOWN,37,HD-BASE-000,2022-12-13,2022-12-13,1,-0.0006804422193983362,-0.0006804422193983362,0,True,1
TREND,DOWN,39,HD-BASE-000,2022-12-15,2022-12-15,1,-0.0022125663557158726,-0.0022125663557158726,0,True,1
TREND,DOWN,41,HD-BASE-000,2022-12-19,2022-12-20,2,-0.008140380868069785,-0.008140380868069785,0,True,2
TREND,DOWN,43,HD-BASE-000,2022-12-22,2022-12-22,1,-0.0017074957355294185,-0.0017074957355294185,0,True,1
TREND,DOWN,45,HD-BASE-000,2023-01-06,2023-02-14,23,0.006624170067923929,-0.009310151620051221,6,True,4
TREND,DOWN,47,HD-BASE-000,2023-02-16,2023-03-01,10,0.0033809312098831423,-0.005389446453323288,2,True,6
TREND,DOWN,49,HD-BASE-000,2023-03-09,2023-03-30,16,0.004401907719083997,-0.017364828298937707,9,False,0
TREND,DOWN,31,HD-BASE-001,2022-11-01,2022-11-02,2,0.0052130440788942245,0.0,0,False,0
TREND,DOWN,33,HD-BASE-001,2022-11-04,2022-11-04,1,0.004201095960908896,0.0,0,False,0
TREND,DOWN,35,HD-BASE-001,2022-12-09,2022-12-09,1,0.000512750831297204,0.0,0,False,0
TREND,DOWN,37,HD-BASE-001,2022-12-13,2022-12-13,1,-0.0010313185665703495,-0.0010313185665703495,0,True,1
TREND,DOWN,39,HD-BASE-001,2022-12-15,2022-12-15,1,-0.003354379917069439,-0.003354379917069439,0,True,1
TREND,DOWN,41,HD-BASE-001,2022-12-19,2022-12-20,2,-0.012318652750010761,-0.012318652750010761,0,True,2
TREND,DOWN,43,HD-BASE-001,2022-12-22,2022-12-22,1,-0.0025930045922111233,-0.0025930045922111233,0,True,1
TREND,DOWN,45,HD-BASE-001,2023-01-06,2023-02-14,23,0.010032076922878774,-0.01407538777693318,6,True,4
TREND,DOWN,47,HD-BASE-001,2023-02-16,2023-03-01,10,0.005107865346453577,-0.008126922207576714,2,True,6
TREND,DOWN,49,HD-BASE-001,2023-03-09,2023-03-30,16,0.006655522932116353,-0.026198452002146322,9,False,0
TREND,DOWN,31,HD-BASE-RM-001,2022-11-01,2022-11-02,2,0.003075410605758222,0.0,0,False,0
TREND,DOWN,33,HD-BASE-RM-001,2022-11-04,2022-11-04,1,0.0024709674197795906,0.0,0,False,0
TREND,DOWN,35,HD-BASE-RM-001,2022-12-09,2022-12-09,1,0.0003045439479756329,0.0,0,False,0
TREND,DOWN,37,HD-BASE-RM-001,2022-12-13,2022-12-13,1,-0.0006111351887058136,-0.0006111351887058136,0,True,1
TREND,DOWN,39,HD-BASE-RM-001,2022-12-15,2022-12-15,1,-0.0019871001534143007,-0.0019871001534143007,0,True,1
TREND,DOWN,41,HD-BASE-RM-001,2022-12-19,2022-12-20,2,-0.007313509321423162,-0.007313509321423162,0,True,2
TREND,DOWN,43,HD-BASE-RM-001,2022-12-22,2022-12-22,1,-0.0015329907269390208,-0.0015329907269390208,0,True,1
TREND,DOWN,45,HD-BASE-RM-001,2023-01-06,2023-02-14,23,0.0059503859867899855,-0.008366041174105443,6,True,4
TREND,DOWN,47,HD-BASE-RM-001,2023-02-16,2023-03-01,10,0.003038499305449971,-0.00484540385684018,2,True,6
