group_type,state,account_id,classified_sessions,performance_sessions,share_of_classified_sessions,episodes,median_episode_sessions,maximum_episode_sessions,compounded_return_on_state_days,annualized_equivalent_return,annualized_volatility,descriptive_sharpe_zero_hurdle,mean_shares,mean_equity_weight,worst_full_path_drawdown_observed,worst_within_episode_drawdown,worst_completed_underwater_state_days,right_censored_underwater_episodes,p00_filled_parent_orders_on_state_days,p00_buy_orders_on_state_days,p00_sell_orders_on_state_days
TREND,DOWN,HD-ANCHOR-001,58,58,0.0681551116333725,10,1.5,23,0.010191513644097316,0.04504113585422953,0.07298649531263346,0.6394539590308174,1298.2758620689656,0.46183827547506906,-0.0783757951866008,-0.022655694023938633,9,6,1,1,0
TREND,DOWN,HD-BASE-000,58,58,0.0681551116333725,10,1.5,23,0.008134885217091714,0.03582860007257982,0.055836325952946124,0.657875672895394,1000.0,0.35382093833622974,-0.0656833493743984,-0.017364828298937707,9,6,1,1,0
TREND,DOWN,HD-BASE-001,58,58,0.0681551116333725,10,1.5,23,0.012306557815763952,0.054580999896079785,0.08462863886679145,0.669498815639728,1500.0,0.5353972115996422,-0.096709966934341,-0.026198452002146322,9,6,1,1,0
TREND,DOWN,HD-BASE-RM-001,58,58,0.0681551116333725,10,1.5,23,0.007309039796421279,0.0321469241907526,0.05014920459197556,0.6555798407623152,900.0,0.317885294654681,-0.0593377451453965,-0.01561032585165889,9,6,1,1,0
TREND,SIDEWAYS,HD-ANCHOR-001,469,469,0.5511163337250293,43,3.0,114,0.17404861487315015,0.09004208843401229,0.0744219780955075,1.1957173874300229,1153.944562899787,0.4398903229933734,-0.0816974733686847,-0.05762440930910906,80,15,2,2,0
TREND,SIDEWAYS,HD-BASE-000,469,469,0.5511163337250293,43,3.0,114,0.15217149407392916,0.07908083224313689,0.06595887096079064,1.1869078773119166,1000.0,0.3872218302776208,-0.0682499197946743,-0.04811197205265205,80,15,2,2,0
TREND,SIDEWAYS,HD-BASE-001,469,469,0.5511163337250293,43,3.0,114,0.23159952079645607,0.11843431587413478,0.09704005310172052,1.2019502421583497,1500.0,0.5646271592536364,-0.1004888993859234,-0.07140211979581412,80,15,2,2,0
TREND,SIDEWAYS,HD-BASE-RM-001,469,469,0.5511163337250293,43,3.0,114,0.1365613646462358,0.071200596834194,0.05961416182916229,1.1835982190556045,900.0,0.3505854120133626,-0.0616563617041831,-0.043393860822894315,80,15,2,2,0
TREND,UP,HD-ANCHOR-001,324,323,0.3807285546415981,33,4.0,133,-0.014638063396511414,-0.01143889231442441,0.07568672777517457,-0.11420176000607976,1095.9876543209878,0.4309212127574359,-0.0563521703269962,-0.04846009733279755,18,28,6,2,4
TREND,UP,HD-BASE-000,324,323,0.3807285546415981,33,4.0,133,-0.013789926548746001,-0.010775102450762963,0.07150406689310973,-0.11579280802862023,1000.0,0.40044978436366513,-0.0574707774511215,-0.049422044491135964,18,28,6,2,4
TREND,UP,HD-BASE-001,324,323,0.3807285546415981,33,4.0,133,-0.022832266542876622,-0.017858531003590472,0.10346413276602863,-0.12242690267153673,1500.0,0.578894780188157,-0.0800887863892354,-0.06887242072784416,18,28,6,2,4
TREND,UP,HD-BASE-RM-001,324,323,0.3807285546415981,33,4.0,133,-0.012136360152956494,-0.009481308024207658,0.06484565636956584,-0.1145268539228858,900.0,0.36318985036723694,-0.0525261146420093,-0.0451698774562731,18,28,6,2,4
VOLATILITY,HIGH_VOL,HD-ANCHOR-001,20,20,0.023501762632197415,1,20.0,20,0.01709401709401659,0.23808327128842466,0.0709923365797589,3.043255213765614,1000.0,0.3740273796172594,-0.0233333333333333,-0.017931959108429374,13,0,0,0,0
VOLATILITY,HIGH_VOL,HD-BASE-000,20,20,0.023501762632197415,1,20.0,20,0.01709401709401659,0.23808327128842466,0.0709923365797589,3.043255213765614,1000.0,0.3740273796172594,-0.0233333333333333,-0.017931959108429374,13,0,0,0,0
VOLATILITY,HIGH_VOL,HD-BASE-001,20,20,0.023501762632197415,1,20.0,20,0.02571212503150977,0.3769594983358808,0.10699880919564012,3.0422324076806553,1500.0,0.5630299475174914,-0.035,-0.02697252331736799,13,0,0,0,0
VOLATILITY,HIGH_VOL,HD-BASE-RM-001,20,20,0.023501762632197415,1,20.0,20,0.015376111753177879,0.2119911990010912,0.0638327308680292,3.0434640508944284,900.0,0.33638929810661133,-0.021,-0.016129842721471,13,0,0,0,0
VOLATILITY,NORMAL_VOL,HD-ANCHOR-001,831,830,0.9764982373678026,2,415.5,826,0.14901177310924574,0.04307463333822947,0.07489035363208986,0.6005459450958499,1145.1263537906136,0.4395103571630687,-0.0816974733686847,-0.08169747336868238,343,2,9,5,4
VOLATILITY,NORMAL_VOL,HD-BASE-000,831,830,0.9764982373678026,2,415.5,826,0.12627411764706187,0.036763971392576034,0.06741478077091273,0.5692488258218067,1000.0,0.3903656261915618,-0.0682499197946743,-0.06824991979467321,348,2,9,5,4
VOLATILITY,NORMAL_VOL,HD-BASE-001,831,830,0.9764982373678026,2,415.5,826,0.1877504128778571,0.0536288361457915,0.0985530392252667,0.5793153650281202,1500.0,0.5681883102206351,-0.1004888993859234,-0.10048889938592187,348,2,9,5,4
