profile_id,status,description,required_robustness_gate,local_parameter_neighbor,not_run_reason,delta_cagr,delta_total_return,ci_60_lower,ci_60_upper,ci_60_excludes_zero_positive,max_drawdown,max_drawdown_difference,mean_equity_weight_absolute_difference,filled_parent_orders,transition_clusters,positive_windows,eligible_windows
P00,COMPLETED,主规则，无压力覆盖,False,False,,0.0097393303911286,0.037679,-0.00367601357822724,0.0244694483130419,False,-0.08169747336868471,-0.020041111664501548,0.08484614326268929,9.0,6.0,5.0,7.0
P01,COMPLETED,所有非零交易费用2倍,True,False,,0.0095138476856753,0.036796666666666665,-0.00397624469721778,0.0241628088324199,False,-0.08188620291401562,-0.02022984120983244,0.08506876517616596,9.0,6.0,5.0,7.0
P02,COMPLETED,所有非零交易费用3倍,False,False,,0.00928824323204,0.03591433333333333,-0.00431053143039464,0.0239315466547844,False,-0.08207504132521928,-0.020418679621036117,0.08529164400489232,9.0,6.0,5.0,7.0
P03,COMPLETED,T日信号于T+2日收盘成交,True,False,,0.009680011356266,0.03744683333333333,-0.00349386049090704,0.0241315447495108,False,-0.08070683816342823,-0.019050476459245055,0.0849147923663412,9.0,6.0,5.0,7.0
P04,COMPLETED,T日信号于T+3日收盘成交,False,False,,0.0099477532050748,0.038495,-0.00337590999272832,0.024771464938525,False,-0.08045866224736636,-0.0188023005431832,0.08469950174190823,9.0,6.0,5.0,7.0
P05,COMPLETED,T日收盘信号于T+1日开盘成交,True,False,,0.0100967696852192,0.039078666666666664,-0.00310723948964606,0.0246603463584502,False,-0.08083384954278933,-0.01917748783860616,0.08451115046275476,9.0,6.0,5.0,7.0
P06,COMPLETED,单边5bp不利执行偏移,True,False,,0.009662805983414,0.0373795,-0.00379941111417805,0.024366928901963,False,-0.0817691736662825,-0.020112811962099335,0.08492232620465874,9.0,6.0,5.0,7.0
P07,COMPLETED,单边10bp不利执行偏移,False,False,,0.0096244320431542,0.037229333333333336,-0.00384303840660623,0.0243162390024152,False,-0.08180519521175225,-0.020148833507569082,0.08496054573224687,9.0,6.0,5.0,7.0
P08,COMPLETED,起点顺延3自然月,False,False,,0.0099210988965641,0.035062333333333334,-0.0050903324449479,0.0260425774429093,False,-0.08347852053466748,-0.020629044932717597,0.09061627558183183,9.0,6.0,4.0,6.0
P09,COMPLETED,起点顺延6自然月,False,False,,0.0100963692225755,0.03252583333333333,-0.00655490119467649,0.0278644897507343,False,-0.07492533333333333,-0.017775333333333334,0.09147215431110367,7.0,5.0,4.0,6.0
P10,COMPLETED,PIT可得时间延迟1个上交所会话,True,False,,0.0096200876014468,0.03721233333333333,-0.00385452022451234,0.0243738183781234,False,-0.08173402065314554,-0.020077658948962372,0.0849809512301484,9.0,6.0,5.0,7.0
P11,COMPLETED,PIT可得时间延迟5个上交所会话,False,False,,0.0101051933596128,0.03911166666666667,-0.00345933241960809,0.0249451894238243,False,-0.08168834165389906,-0.02003197994971589,0.08458943127191346,9.0,6.0,5.0,7.0
P12,COMPLETED,有效Dhat乘0.9,False,False,,0.0080415585798625,0.031047166666666667,0.000760443435969065,0.0164355584864249,True,-0.06941000962463907,-0.007753647920455906,0.05641251697850775,6.0,5.0,5.0,7.0
P13,COMPLETED,有效Dhat乘1.1,False,False,,0.0147580793654798,0.05744133333333333,-0.00297092729856625,0.0337784858292967,False,-0.08602278735437588,-0.024366425650192713,0.11065713236825844,18.0,12.0,5.0,7.0
P14,COMPLETED,有效Dhat乘0.8,False,False,,0.0037886822721962,0.014552666666666667,-0.00151584648443408,0.00984998610952928,False,-0.06824991979467436,-0.0065935580904911955,0.0368257228602045,0.0,0.0,5.0,7.0
P15,COMPLETED,五个正股息率阈值统一减0.001,False,True,,0.0109351563444861,0.04236633333333333,-0.00328006854348021,0.0267124987370765,False,-0.08242335588584958,-0.0207669941816664,0.09087550606914392,10.0,7.0,5.0,7.0
P16,COMPLETED,五个正股息率阈值统一加0.001,False,True,,0.0073313215796067,0.028280833333333335,-0.00454210337063828,0.01979041691943,False,-0.07955552005168907,-0.017899158347505904,0.07118926605131583,5.0,5.0,5.0,7.0
P17,COMPLETED,confirmation_bars=1,False,True,,0.0098044311120406,0.03793383333333333,-0.00324222834402874,0.0241644197639251,False,-0.08091702210871073,-0.01926066040452756,0.08539997714695187,11.0,8.0,5.0,7.0
P18,COMPLETED,confirmation_bars=3,False,True,,0.010190781881682,0.039447,-0.00220209106592883,0.0242976905929514,False,-0.07900594841130384,-0.01734958670712068,0.08310640307196213,9.0,6.0,5.0,7.0
P19,COMPLETED,动态账户初始化1200股,False,False,,0.009684142243797,0.037463,-0.00379161767866562,0.0246549014219989,False,-0.08171438547653348,-0.020058023772350306,0.08590878114434074,11.0,7.0,5.0,7.0
P20,COMPLETED,动态账户初始化0股,False,False,,0.0133055459061031,0.05169733333333333,-0.000762842478937946,0.0277209981007904,False,-0.08177049970808406,-0.02011413800390089,0.07647434083569218,19.0,6.0,5.0,7.0
P21,NOT_RUN,,False,False,NO_AUDITABLE_EXECUTABLE_BROKER_CASH_RATE_INPUT,,,,,,,,,,,,
P22,COMPLETED,每第10个本可完整成交父委托强制未成交,False,False,,0.0097393303911286,0.037679,-0.00367601357822724,0.0244694483130419,False,-0.08169747336868471,-0.020041111664501548,0.08484614326268929,9.0,6.0,5.0,7.0
P23,COMPLETED,每第10个本可完整成交父委托半成交,False,False,,0.0097393303911286,0.037679,-0.00367601357822724,0.0244694483130419,False,-0.08169747336868471,-0.020041111664501548,0.08484614326268929,9.0,6.0,5.0,7.0
