exchange,trade_date,is_open,previous_trade_date,source
SSE,19901219,1,,sina_finance
SSE,19901220,1,19901219,sina_finance
SSE,19901221,1,19901220,sina_finance
SSE,19901224,1,19901221,sina_finance
SSE,19901225,1,19901224,sina_finance
SSE,19901226,1,19901225,sina_finance
SSE,19901227,1,19901226,sina_finance
SSE,19901228,1,19901227,sina_finance
SSE,19901231,1,19901228,sina_finance
SSE,19910102,1,19901231,sina_finance
SSE,19910103,1,19910102,sina_finance
SSE,19910104,1,19910103,sina_finance
SSE,19910107,1,19910104,sina_finance
SSE,19910108,1,19910107,sina_finance
SSE,19910109,1,19910108,sina_finance
SSE,19910110,1,19910109,sina_finance
SSE,19910111,1,19910110,sina_finance
SSE,19910114,1,19910111,sina_finance
SSE,19910115,1,19910114,sina_finance
SSE,19910116,1,19910115,sina_finance
SSE,19910117,1,19910116,sina_finance
SSE,19910118,1,19910117,sina_finance
SSE,19910121,1,19910118,sina_finance
SSE,19910122,1,19910121,sina_finance
SSE,19910123,1,19910122,sina_finance
SSE,19910124,1,19910123,sina_finance
SSE,19910125,1,19910124,sina_finance
SSE,19910128,1,19910125,sina_finance
SSE,19910129,1,19910128,sina_finance
SSE,19910130,1,19910129,sina_finance
SSE,19910131,1,19910130,sina_finance
SSE,19910201,1,19910131,sina_finance
SSE,19910204,1,19910201,sina_finance
SSE,19910205,1,19910204,sina_finance
SSE,19910206,1,19910205,sina_finance
SSE,19910207,1,19910206,sina_finance
SSE,19910208,1,19910207,sina_finance
SSE,19910211,1,19910208,sina_finance
SSE,19910212,1,19910211,sina_finance
SSE,19910213,1,19910212,sina_finance
SSE,19910214,1,19910213,sina_finance
SSE,19910219,1,19910214,sina_finance
SSE,19910220,1,19910219,sina_finance
SSE,19910221,1,19910220,sina_finance
SSE,19910222,1,19910221,sina_finance
SSE,19910225,1,19910222,sina_finance
SSE,19910226,1,19910225,sina_finance
SSE,19910227,1,19910226,sina_finance
SSE,19910228,1,19910227,sina_finance
SSE,19910301,1,19910228,sina_finance
SSE,19910304,1,19910301,sina_finance
SSE,19910305,1,19910304,sina_finance
SSE,19910306,1,19910305,sina_finance
SSE,19910307,1,19910306,sina_finance
SSE,19910308,1,19910307,sina_finance
SSE,19910311,1,19910308,sina_finance
SSE,19910312,1,19910311,sina_finance
SSE,19910313,1,19910312,sina_finance
SSE,19910314,1,19910313,sina_finance
SSE,19910315,1,19910314,sina_finance
SSE,19910318,1,19910315,sina_finance
SSE,19910319,1,19910318,sina_finance
SSE,19910320,1,19910319,sina_finance
SSE,19910321,1,19910320,sina_finance
SSE,19910322,1,19910321,sina_finance
SSE,19910325,1,19910322,sina_finance
SSE,19910326,1,19910325,sina_finance
SSE,19910327,1,19910326,sina_finance
SSE,19910328,1,19910327,sina_finance
