代码	名称	所属行业
----------------------------------------------------------------------------------------------------
.SH	未知	GICS1工业, GICS2运输, GICS3交通基本设施
000001.SH	上证指数	沪市指数, 沪深指数
000001.SZ	平安银行	沪深A股, 沪深京A股, 深证A股, GICS1金融, GICS2银行, GICS3商业银行, GICS4综合性银行, TDGN跨境支付, TGNMSCI概念, TGN标普道琼斯A股, TGN沪深300样本股, TGN深股通, TGN融资融券, TGN证金持股, TGN跨境支付(CIPS), TGN高股息精选, THY1银行, THY2银行, THY3股份制银行, TFGMSCI成份, TFG低市净率, TFG低市盈率, TFG保险重仓, TFG北上重仓, TFG周期股, TFG基金重仓, TFG大盘股, TFG破净资产, TFG高股息股, 1000SW2股份制银行, 500SW2股份制银行, 两融标的, 陆港通, DY1广东省, DY2广东省深圳市, 000946, 1000价值, 1000金融, 100低波, 100绩效, 300R价值, 300价值, 300分层, 300周期, 300波动, 300深市, 300稳定, 300等权, 300绩效, 300金融, 300银行, 399427, 800等权, ESG 100, ESG 300, 中国1000, 中证800, 中证A500, 中证全指, 中证流通, 中证超大, 中证金融, 中证银行, 互联金融, 全指金融, 内地银行, 创新引擎, 创新示范, 区块链50, 国证1000, 国证价值, 国证银行, 国证Ａ指, 基本200, 基本600, 基本面50, 大中盘, 大盘价值, 大盘低波, 央视500, 央视治理, 巨潮100, 巨潮大盘, 新指数, 沪深300, 消费服务, 深100EW, 深300EW, 深企综指, 深市精选, 深成指EW, 深成指R, 深成金融, 深证100, 深证1000, 深证100R, 深证300, 深证300R, 深证F120, 深证F200, 深证F60, 深证GDP, 深证价值, 深证低波, 深证成指, 深证时钟, 深证综指, 深证责任, 深证金融, 深证Ａ指, 珠三角, 等权90, 细分金融, 财富大盘, 金融指数, 银河99, GNMSCI, GN优先股, GN低市盈率, GN区块链, GN基金重仓, GN大盘, GN大金融, GN富时罗素, GN广东, GN标普道琼斯A股, GN沪深300, GN深圳, GN深股通, GN深证成指, GN破净股, GN融资融券, GN证金持股, GN证金汇金, GN跨境支付, GN银行, GN长期破净, GN陆股通活跃, GN高股息精选, 300SW1银行, 300SW2股份制银行, 300SW2银行, SW1银行, SW1银行加权, SW2股份制银行, SW2股份制银行加权, SW2银行, SW2银行加权, SW3股份制银行, SW3股份制银行加权, SW3银行, SW3银行加权, 1000价值等权, 1000金融等权, 100低波等权, 100绩效等权, 300深市等权, 300绩效等权, 300金融等权, 399427等权, A股非科创等权, ESG 300等权, 中证800等权, 中证A500等权, 中证全指等权, 中证流通等权, 中证金融等权, 中证银行等权, 互联金融等权, 全指金融等权, 创新引擎等权, 创新示范等权, 区块链50等权, 国证1000等权, 国证价值等权, 国证银行等权, 国证Ａ指等权, 大中盘等权, 大盘价值等权, 大盘低波等权, 央视500等权, 央视治理等权, 巨潮100等权, 巨潮大盘等权, 新指数等权, 沪深300加权, 沪深300等权, 沪深全市场等权, 深企综指等权, 深圳A股等权, 深圳主板等权, 深圳全市场等权, 深市精选等权, 深成指R等权, 深成金融等权, 深证1000等权, 深证100R等权, 深证100等权, 深证300R等权, 深证300等权, 深证F120等权, 深证F200等权, 深证F60等权, 深证GDP等权, 深证价值等权, 深证低波等权, 深证成指等权, 深证时钟等权, 深证综指等权, 深证责任等权, 深证金融等权, 深证Ａ指等权, 珠三角等权, 等权90等权, 金融指数等权, CSRC1金融业, CSRC2货币金融服务
000002.SH	Ａ股指数	沪市指数, 沪深指数
000002.SZ	万 科Ａ	沪深A股, 沪深京A股, 深证A股, GICS1房地产, GICS2房地产管理和开发, GICS3房地产管理和开发, GICS4房地产开发, TDGN体育概念, TDGN养老概念, TDGN含H股, TDGN智能机器, TDGN物业管理, TDGN粤港澳, TDGN装配建筑, TGNMSCI概念, TGN体育产业, TGN养老概念, TGN冰雪产业, TGN冷链物流, TGN智能物流, TGN机器人概念, TGN标普道琼斯A股, TGN沪深300样本股, TGN深股通, TGN漂亮100, TGN物业管理, TGN租售同权, TGN空间计算, TGN粤港澳大湾区, TGN融资融券, TGN装配式建筑, TGN证金持股, TGN超级品牌, THY1房地产, THY2房地产, THY3住宅开发, TFGMSCI成份, TFG亏损股, TFG低安全分, TFG低市净率, TFG周期股, TFG破净资产, TFG行业龙头, TFG连续亏损, TFG高应收款, 两融标的, 陆港通, DY1广东省, DY2广东省深圳市, 000960, 1000地产, 100绩效, 300R价值, 300价值, 300分层, 300动态, 300周期, 300地产, 300深市, 300等权, 300红利, 300绩效, 300金融, 800地产, 800等权, ESG 300, 中国1000, 中证200, 中证800, 中证A100, 中证A500, 中证全指, 中证国企, 中证地企, 中证流通, 中证红利, 中证超大, 中证金融, 全指金融, 内地企业, 内地地产, 创新引擎, 创新示范, 周期100, 国企200, 国企改革, 国企红利, 国证1000, 国证地产, 国证红利, 国证Ａ指, 地产指数, 地产等权, 地企100, 基本200, 基本600, 基本面50, 大中盘, 央视50, 央视500, 央视成长, 央视治理, 巨潮大盘, 投资时钟, 新指数, 沪深300, 深100EW, 深300EW, 深企综指, 深周期50, 深市精选, 深成指EW, 深成指R, 深证100, 深证1000, 深证100R, 深证300, 深证300R, 深证F120, 深证F200, 深证F60, 深证地产, 深证成指, 深证时钟, 深证综指, 深证责任, 深证Ａ指, 珠三角, 细分地产, 财富大盘, 银河99, GNAH溢价股, GNH股, GNMSCI, GNREITs, GN业绩爆雷, GN中盘, GN中证100, GN住房租赁, GN体育产业, GN养老, GN养老产业, GN冰雪产业, GN冷链, GN基金重仓, GN安邦系, GN富时罗素, GN广东, GN快递物流, GN房地产, GN房屋租赁, GN旧改, GN智能物流, GN机器人, GN标普道琼斯A股, GN沪深300, GN深圳, GN深圳本地股, GN深股通, GN深证成指, GN混改, GN物业管理, GN破净股, GN租售同权, GN空间计算, GN粤港澳大湾区, GN股权转让, GN融资融券, GN装配式建筑, GN证金持股, GN证金汇金, GN超级品牌, GN长期破净, 300SW1房地产, 300SW2房地产开发, SW1房地产, SW1房地产加权, SW2房地产开发, SW2房地产开发加权, SW3住宅开发, SW3住宅开发加权, SW3房地产开发, SW3房地产开发加权, 1000地产等权, 100绩效等权, 300深市等权, 300绩效等权, 300金融等权, 800地产等权, A股非科创等权, ESG 300等权, 中证200等权, 中证800等权, 中证A100等权, 中证A500等权, 中证全指等权, 中证流通等权, 中证金融等权, 全指金融等权, 创新引擎等权, 创新示范等权, 周期100等权, 国企改革等权, 国证1000等权, 国证地产等权, 国证红利等权, 国证Ａ指等权, 地产指数等权, 大中盘等权, 央视500等权, 央视50等权, 央视成长等权, 央视治理等权, 巨潮大盘等权, 投资时钟等权, 新指数等权, 沪深300加权, 沪深300等权, 沪深全市场等权, 深企综指等权, 深周期50等权, 深圳A股等权, 深圳主板等权, 深圳全市场等权, 深市精选等权, 深成指R等权, 深证1000等权, 深证100R等权, 深证100等权, 深证300R等权, 深证300等权, 深证F120等权, 深证F200等权, 深证F60等权, 深证地产等权, 深证成指等权, 深证时钟等权, 深证综指等权, 深证责任等权, 深证Ａ指等权, 珠三角等权, CSRC1房地产业, CSRC2房地产业
000003.SH	Ｂ股指数	沪市指数, 沪深指数
000003.SZ	未知	GICS1工业, GICS2资本品, GICS3工业集团企业, GICS4工业集团企业
000004.SH	工业指数	沪市指数, 沪深指数
000004.SZ	*ST国华	沪深A股, 沪深京A股, 深证A股, GICS1医疗保健, GICS2制药、生物科技和生命科学, GICS3制药, GICS4制药, TDGN5G概念, TDGNST板块, TDGN东数西算, TDGN互联金融, TDGN人工智能, TDGN信创, TDGN信息安全, TDGN储能, TDGN华为鸿蒙, TDGN工业互联, TDGN抖音概念, TDGN物联网, TDGN网络游戏, TDGN车联网, TGN5G, TGNST板块, TGN东数西算(算力), TGN云计算, TGN互联网金融, TGN人工智能, TGN人脸识别, TGN信创, TGN储能, TGN华为概念, TGN壳资源, TGN工业互联网, TGN手机游戏, TGN抖音概念(字节概念), TGN数据安全, TGN物联网, TGN电力物联网, TGN粤港澳大湾区, TGN网络安全, TGN车联网(车路协同), TGN鸿蒙概念, THY1计算机, THY2计算机应用, THY2软件开发, THY3横向通用软件, THY3软件开发, TFG壳资源, TFG昨日跌停, DY1广东省, DY2广东省深圳市, 中证民企, 深证综指, 深证Ａ指, GN5G, GNRCS, GNST股, GN一体机, GN东数西算算力, GN云计算, GN互联网金融, GN人工智能, GN人脸识别, GN信创, GN储能, GN区块链, GN医药, GN华为, GN华为产业链, GN华为鸿蒙, GN国产软件, GN壳公司, GN小盘, GN工业互联网, GN广东, GN强势人气股, GN抖音, GN数据安全, GN泛在电力物联网, GN深ST板, GN深圳, GN游戏, GN物联网, GN电力物联网, GN粤港澳大湾区, GN网络安全, GN网络游戏, GN车联网, GN车联网(车路协同), GN车联网车路云, GN车联网（车路云）, GN软件, GN龙虎榜热门, SW1计算机, SW1计算机加权, SW2软件开发, SW2软件开发加权, SW3横向通用软件, SW3横向通用软件加权, 深证综指等权, 深证Ａ指等权, CSRC1信息传输、软件和信息技术服务业, CSRC2软件和信息技术服务业
